symbol,year,revenue,net_income,eps,roe,de,payout
1304,2023,1559533721.0,-130142311.0,-2.56,-25.1169,1.8023,
1304,2024,1956591394.0,70800717.0,1.39,12.0188,1.4909,
1304,2025,1878583619.0,59687481.0,1.17,9.5988,1.3458,
1320,2021,,,,,,
1320,2022,747622847.0,54205644.0,1.072,9.8463,0.4154,
1320,2023,1334708124.0,173051631.0,3.424,23.9726,0.7463,
1320,2024,1630189005.0,180630645.0,3.574,20.9438,0.6368,0.2076
1320,2025,1412253836.0,191533818.0,3.79,22.4608,0.3285,1.0423
1321,2022,,,,,,
1321,2023,1438646383.0,99920835.0,3.17,16.2357,0.419,
1321,2024,1543167801.0,267507881.0,8.49,31.4008,0.3463,0.1178
1321,2025,1832845313.0,382123608.0,12.13,33.6837,0.1073,0.2473
1321,2026,2297739980.0,573262283.0,18.2,36.6576,0.0137,0.2473
1810,2021,,,,,,
1810,2022,2114376670.0,-47729661.0,-0.16,-0.8807,0.2971,
1810,2023,3290821152.0,225708068.0,0.761,3.5164,0.3665,
1810,2024,4090827684.0,-198975107.0,-0.676,-3.3807,0.3515,
1810,2025,4716397515.0,46395589.0,0.168,0.8056,0.4032,
1820,2021,,,,,,
1820,2022,720893000.0,-81488000.0,-0.26,-28.0832,5.0913,
1820,2023,742139000.0,-89819000.0,-0.29,-44.1516,7.4153,
1820,2024,678696000.0,5310000.0,0.02,2.5697,6.676,
1820,2025,649040000.0,-201814000.0,-0.64,-7230.885,431.254,
1830,2021,,,,,,
1830,2022,1065788788.0,254758323.0,4.86,27.8493,1.2799,0.4957
1830,2023,1325407138.0,356244132.0,6.8,32.706,1.4647,0.5073
1830,2024,1501366256.0,456978822.0,8.73,37.0525,1.3846,0.6179
1830,2025,1614329681.0,304870401.0,5.85,25.4045,1.6931,0.6478
1831,2021,,,,,,
1831,2022,1683594673.0,113462364.0,0.1995,20.4325,1.0694,1.0741
1831,2023,1890018520.0,100225936.0,0.1742,17.616,1.0766,0.8231
1831,2024,2235430580.0,175275326.0,0.3087,26.0421,0.9619,0.3723
1831,2025,3112462659.0,272767065.0,0.4829,31.1363,0.3751,0.2475
1832,2021,,,,,,
1832,2022,110822288.0,-7215933.0,-0.041,-4.0946,0.101,
1832,2023,104037424.0,-4245445.0,-0.024,-2.4722,0.2003,
1832,2024,111836550.0,-3753258.0,-0.02,-2.2406,0.3319,
1832,2025,143424366.0,-3379079.0,-0.02,-2.0629,0.4779,
2001,2021,,,,,,
2001,2022,1076824269.0,206428499.0,13.759,16.898,0.3062,
2001,2023,727967409.0,-177800467.0,-11.8705,-17.087,0.3584,
2001,2024,705565164.0,-278589455.0,-18.5701,-36.5405,0.8753,
2001,2025,621933855.0,-479662530.0,-31.9694,-168.176,1.4108,
2010,2021,,,,,,
2010,2022,183076594000.0,16529722000.0,5.51,8.8847,0.1871,0.8148
2010,2023,141537187000.0,-2772282000.0,-0.92,-1.6558,0.2001,-4.1125
2010,2024,117736492000.0,1538542000.0,0.51,0.984,0.2251,6.565
2010,2025,116525214000.0,-25779231000.0,-8.59,-20.0276,0.2879,-0.3734
2020,2021,,,,,,
2020,2022,18980830000.0,10036764000.0,21.08,50.4512,0.0124,0.3305
2020,2023,11033429000.0,3659449000.0,7.69,20.6256,0.012,1.4273
2020,2024,11061291000.0,3327172000.0,6.99,18.0106,0.0104,0.8572
2020,2025,13076878000.0,4322068000.0,9.08,20.3838,0.0102,0.7158
2030,2021,,,,,,
2030,2022,34478958.0,28230062.0,1.88,6.4332,,0.2657
2030,2023,15362270.0,7701643.0,0.51,1.7745,0.0,1.9476
2030,2024,9629810.0,-53487697.0,-3.57,-15.5728,0.0015,
2030,2025,4242101.0,-60182955.0,-4.01,-21.2427,0.0013,
2040,2022,1484958000.0,173920000.0,1.744,9.94,0.4267,0.5738
2040,2023,1314868000.0,-210351000.0,-2.33,-13.9814,0.5928,-0.1901
2040,2024,1348797000.0,-71859000.0,-0.72,-5.0477,0.5852,
2040,2025,1490375000.0,180687000.0,1.81,11.6286,0.5475,0.2758
2050,2022,28054703000.0,742752000.0,3.0786,8.9979,1.4376,0.1451
2050,2023,24149521000.0,899185000.0,3.7415,10.7082,1.4489,0.4282
2050,2024,23045574000.0,9974266000.0,40.0982,215.8778,1.5143,0.0003
2050,2025,26081053000.0,874462000.0,2.93,15.8531,1.0598,0.0039
2060,2021,,,,,,
2060,2022,3882862000.0,666346000.0,1.0,6.9303,0.741,
2060,2023,3566959000.0,201628000.0,0.3,2.0837,0.7486,
2060,2024,3024079000.0,-27929000.0,-0.04,-0.2893,0.9699,
2060,2025,2488722000.0,-1765250000.0,-2.64,-22.5541,0.7701,
2070,2021,,,,,,
2070,2022,1421810000.0,-165135000.0,-1.38,-10.7265,0.7027,-0.4284
2070,2023,1655441000.0,-50728000.0,-0.42,-3.6888,0.8139,-0.0091
2070,2024,1682000000.0,24535000.0,0.21,1.7801,1.0974,0.1132
2070,2025,1706711000.0,184363000.0,1.54,11.5469,0.8983,
2080,2021,,,,,,
2080,2022,2063624993.0,214063523.0,2.85,12.3382,0.0536,0.8963
2080,2023,2450972069.0,227315243.0,3.03,12.316,0.0385,0.3316
2080,2024,2862203136.0,248749238.0,3.32,13.0492,0.0714,0.6442
2080,2025,3256075233.0,249131528.0,3.32,12.6571,0.0391,0.6723
2081,2021,,,,,,
2081,2022,822032855.0,107441177.0,3.0714,27.0237,1.2805,0.6981
2081,2023,1679811258.0,140021598.0,4.0,26.0461,1.0182,
2081,2024,1952145192.0,230002219.0,6.57,29.6302,0.9027,
2081,2025,2473951052.0,255744423.0,7.31,27.9286,1.0763,0.2053
2082,2021,,,,,,
2082,2022,5275930000.0,1540035000.0,2.089,8.2532,1.2711,0.4062
2082,2023,6095010000.0,1661714000.0,2.2519,8.6738,1.334,0.4249
2082,2024,6297298000.0,1757057000.0,2.38,8.0381,1.2057,0.2563
2082,2025,7413501000.0,1852225000.0,2.47,6.3815,1.0619,0.0651
2090,2022,54737007.0,-6442845.0,-0.2,-1.8066,0.0189,-4.915
2090,2023,51892213.0,5127534.0,0.16,1.4159,0.0169,
2090,2024,63322248.0,-12693428.0,-0.4,-3.6578,0.016,
2090,2025,60582749.0,-30801789.0,-0.97,-9.8871,0.1181,
2100,2021,,,,,,
2100,2022,130516485.0,13817123.0,1.0,6.4913,0.107,0.0001
2100,2023,161631423.0,20963599.0,0.91,9.0178,0.0554,
2100,2024,156952907.0,4707765.0,0.2,1.9727,0.1082,
2100,2025,123168376.0,-46762474.0,-2.02,-24.471,0.1635,
2110,2021,,,,,,
2110,2022,68368000.0,-580476000.0,-25.04,116.9174,-0.9524,
2110,2023,30678000.0,17804000.0,2.67,-3.6836,-0.2289,
2110,2024,44079000.0,48758000.0,7.3,-11.6245,-0.2598,
2110,2025,155952000.0,201925000.0,30.26,-94.203,-0.504,
2120,2021,,,,,,
2120,2022,116047600.0,100207371.0,2.0,11.1195,0.0,0.3742
2120,2023,180154806.0,148799189.0,2.52,14.9485,0.1037,0.2016
2120,2024,342437508.0,295063946.0,5.0,23.9751,0.0839,0.2
2120,2025,-123451429.0,-162508451.0,-2.75,-16.0742,0.1602,-0.3631
2130,2021,,,,,,
